Date,Max_Temperature,Min_Temperature,Humidity,Rainfall,Dengue_Cases,Population,Population_Density,Altitude,Health_Facilities,Mosquito_Abundance
2022-11-11,33,10,87,7,43,187029,98,769,15,162
2020-06-23,36,19,83,11,10,503428,326,221,4,130
2022-04-19,27,15,89,8,10,168078,157,420,32,51
2020-10-16,26,18,51,5,4,195023,347,124,14,113
2023-05-15,21,22,61,17,41,337175,64,188,2,180
2023-10-14,40,10,69,17,14,394125,449,715,19,95
2021-07-29,24,16,82,18,25,439263,403,709,28,80
2020-01-25,40,23,63,11,42,377916,138,261,11,135
2021-11-06,26,25,76,0,3,446747,136,810,17,136
2020-12-03,39,23,53,6,12,758851,330,596,8,174
2020-06-08,35,29,67,14,40,531823,439,201,15,108
2023-10-09,28,15,52,9,33,333358,311,462,40,165
2023-11-08,40,22,69,11,36,287531,50,584,2,83
2023-04-26,39,17,51,4,25,331384,310,118,30,56
2022-08-19,30,29,60,1,12,146595,113,934,6,185
2022-05-25,24,12,73,16,36,821956,64,321,27,171
2022-08-30,20,24,52,2,49,841009,84,615,28,69
2023-03-17,35,18,89,8,46,445894,421,833,44,181
2020-09-16,25,13,63,11,16,300096,57,593,32,58
2022-03-18,39,15,67,4,4,328909,478,244,17,104
2021-11-28,29,27,84,12,20,849367,121,125,26,138
2023-11-05,32,21,88,5,50,132548,61,909,23,92
2022-04-16,26,10,89,4,12,271471,248,737,21,54
2020-05-02,24,21,64,8,4,491391,350,904,25,104
2020-05-19,28,28,53,5,31,356959,344,358,1,102
2021-04-30,38,16,66,4,26,867925,370,105,43,115
2021-01-03,30,26,73,2,48,352683,138,952,6,111
2023-10-08,32,16,71,4,12,663822,190,314,42,190
2020-07-18,27,21,68,17,15,774899,481,286,38,121
2021-09-01,24,17,85,20,50,912844,155,405,46,75
2022-11-03,21,14,50,9,50,439190,97,556,46,145
2020-03-30,22,29,78,1,1,908168,129,20,40,112
2023-03-20,23,12,75,13,12,623270,468,532,34,146
2021-06-21,20,13,89,17,19,597251,297,217,46,122
2022-05-04,21,30,85,11,14,440487,83,116,18,179
2020-01-17,30,28,65,5,38,602089,245,898,20,59
2020-07-14,29,11,68,3,48,950205,77,44,23,129
2020-10-20,35,27,66,11,8,240128,306,447,48,142
2023-01-27,30,18,79,11,18,686307,242,487,50,83
2020-12-20,23,20,76,19,12,659075,184,215,23,172
2021-02-16,33,16,59,7,11,174019,93,667,8,89
2020-06-03,20,11,75,12,22,471056,218,384,36,63
2020-02-10,30,17,70,20,36,909816,400,940,32,66
2023-04-13,31,29,71,6,39,458681,94,578,14,131
2020-07-31,34,14,59,6,43,290261,108,939,14,107
2023-02-20,22,14,76,4,46,164376,134,654,29,196
2022-02-14,20,20,83,16,44,571434,264,773,30,84
2022-06-06,29,24,53,16,19,863449,183,545,31,196
2020-05-07,28,14,77,3,48,635946,65,36,6,122
2020-11-29,39,22,73,3,24,387099,306,389,26,134
2023-04-28,39,19,55,0,15,624943,161,272,40,96
2020-05-15,30,29,68,7,13,539716,391,495,18,129
2021-01-18,21,14,79,17,49,347900,250,824,29,157
2023-08-01,26,12,75,6,25,804535,250,863,21,186
2021-12-28,23,21,83,12,35,606621,374,117,2,160
2020-09-15,31,27,71,7,27,973859,52,224,15,69
2022-09-22,24,23,66,15,16,656436,146,386,17,93
2022-03-20,21,29,60,10,39,156929,446,470,33,143
2021-07-08,27,24,62,1,39,242086,358,91,13,113
2022-06-11,30,27,59,20,24,672820,56,729,50,131
2023-01-04,22,24,72,8,5,972393,326,654,23,175
2022-09-24,38,24,77,11,7,359160,500,38,21,180
2022-02-20,21,11,89,1,8,825106,356,150,19,120
2023-03-02,35,17,76,3,20,279210,448,522,6,94
2021-10-19,20,18,71,13,3,962723,160,170,9,178
2022-10-15,32,14,61,3,36,705457,53,63,37,143
2021-06-13,22,10,69,20,24,188110,53,912,42,100
2022-08-07,36,17,76,15,28,313577,338,745,31,54
2020-04-20,20,26,80,2,26,516179,148,225,1,56
2021-06-11,40,24,85,4,39,271760,472,180,42,176
2021-11-04,40,15,64,17,30,107988,78,946,44,57
2021-01-15,28,26,76,5,20,353909,280,560,29,127
2023-02-10,36,17,81,18,28,555705,260,518,22,136
2021-12-13,32,28,89,0,10,973881,365,246,8,76
2021-10-19,34,16,50,20,23,850464,177,231,21,86
2020-01-19,33,28,76,11,26,495223,93,740,14,163
2021-09-18,21,11,70,20,7,785171,162,585,7,91
2021-08-03,31,13,51,16,20,677704,371,302,4,155
2020-04-01,38,30,68,14,15,879726,287,837,9,81
2023-08-23,22,13,90,0,22,983165,104,163,35,192
2021-02-03,23,25,89,1,22,697754,59,202,19,117
2020-08-01,34,24,51,0,43,309998,376,739,16,153
2023-09-22,39,12,90,5,29,451132,53,683,10,143
2021-02-25,40,11,62,20,34,203145,254,592,19,161
2020-07-14,35,12,86,6,5,118219,320,400,2,187
2022-08-25,38,30,51,0,34,885727,168,896,45,97
2022-08-30,32,14,71,8,7,272128,413,403,49,142
2020-07-29,22,19,60,13,18,890928,324,661,50,148
2022-06-03,30,23,87,19,19,426990,451,497,41,121
2022-09-12,33,13,89,7,26,205438,69,984,47,154
2020-12-08,26,30,53,14,0,786078,483,514,24,69
2020-12-10,24,21,65,9,31,772583,175,682,35,160
2023-06-03,30,10,72,0,48,581515,52,538,31,128
2020-04-04,31,28,73,13,36,134919,417,178,50,136
2021-09-19,40,13,87,4,6,725936,251,114,24,81
2021-04-07,21,26,61,13,42,806073,95,904,26,129
2022-02-08,21,10,75,2,3,837526,150,258,7,183
2020-09-08,31,14,73,1,41,347046,333,644,8,184
2023-08-12,33,24,57,17,13,218731,51,243,28,152
2022-10-10,27,22,79,6,17,532844,243,510,11,111
2020-12-21,31,23,76,10,0,281812,433,96,40,151
2021-02-02,38,30,85,9,39,889729,91,541,32,155
2020-11-15,27,22,52,19,1,401674,101,12,27,73
2022-12-04,32,10,59,1,25,327136,116,417,45,117
2021-01-23,22,14,68,18,23,419192,437,874,40,161
2021-09-03,27,18,70,1,13,694028,213,761,4,60
2023-01-16,33,28,84,16,33,740715,186,911,11,162
2021-06-14,40,22,89,9,15,877075,134,615,18,181
2022-11-18,28,27,87,19,31,754183,142,759,8,156
2022-12-25,38,14,56,3,49,333696,105,459,38,51
2023-03-20,30,20,78,18,16,389456,139,529,5,105
2021-10-09,32,10,80,10,35,952383,441,237,19,108
2021-06-16,33,23,73,18,11,150325,307,959,16,84
2021-05-20,26,15,70,9,20,152482,500,111,24,156
2021-12-09,22,21,88,20,45,137692,364,49,3,161
2020-11-09,28,19,61,16,0,657883,92,874,24,150
2023-09-30,31,28,73,9,39,593029,455,147,7,84
2020-05-30,34,25,54,4,9,921107,388,828,36,185
2020-07-10,26,12,51,16,9,773030,464,603,33,81
2020-07-19,38,16,90,16,9,140993,117,870,1,155
2021-12-27,26,29,69,4,15,199978,407,858,45,55
2022-06-10,27,11,59,5,36,342760,73,475,2,123
2023-03-25,28,26,77,13,14,191643,207,166,36,55
2022-03-14,38,16,68,16,10,314938,308,320,12,79
2023-04-22,26,17,65,14,11,687213,157,765,7,63
2020-07-27,22,10,58,9,22,656016,436,250,17,185
2020-02-27,39,13,76,15,32,452180,72,958,5,131
2022-12-06,36,14,58,17,14,568933,88,84,21,54
2020-01-26,39,18,67,7,35,988202,186,144,30,92
2021-06-29,36,26,89,4,27,716114,187,497,16,75
2023-06-28,26,24,76,2,40,808150,175,329,8,79
2022-06-07,29,23,78,7,0,630316,452,6,36,97
2021-02-19,31,19,68,20,23,589596,378,287,4,146
2020-09-15,23,20,85,12,41,701992,163,327,47,51
2020-12-02,20,10,51,10,37,898958,359,840,25,103
2022-02-12,30,18,70,14,43,296769,408,601,6,167
2023-09-13,21,22,86,15,48,591902,95,503,4,69
2022-10-22,21,10,55,16,3,625190,137,647,19,167
2023-08-03,35,15,86,2,38,517510,456,17,31,164
2022-10-11,40,22,68,9,21,952349,475,128,11,192
2022-08-27,24,18,74,3,32,898885,397,402,49,123
2023-08-06,25,19,55,8,5,491376,125,457,16,166
2021-01-25,29,30,60,11,39,587377,370,987,5,129
2021-11-21,39,24,90,6,30,455600,186,719,11,114
2023-11-11,24,14,80,18,34,783670,304,796,37,119
2022-04-23,29,22,88,15,3,117956,240,798,28,62
2021-11-07,26,13,73,0,35,698673,130,460,31,129
2022-06-04,27,25,64,0,2,659526,237,782,48,194
2021-10-01,33,22,50,14,33,295847,166,140,8,149
2021-09-07,24,17,78,14,15,704648,308,14,4,191
2021-07-20,30,13,82,4,46,848730,349,975,14,103
2022-01-23,35,27,79,20,34,446035,318,983,15,138
2023-06-16,34,10,89,13,22,374578,361,530,20,168
2020-06-21,38,22,73,13,15,910534,457,555,34,124
2023-01-11,28,24,56,15,29,443049,233,144,28,125
2022-05-03,24,21,83,12,37,158278,189,362,27,125
2023-04-30,26,28,61,10,18,565359,219,603,41,155
2022-10-31,35,24,55,8,44,428632,302,622,30,95
2022-08-12,37,19,74,3,7,479024,211,279,47,124
2021-05-13,36,11,68,7,14,935910,228,930,23,96
2022-05-05,40,24,75,6,35,428091,385,786,32,129
2020-11-06,27,29,55,18,6,190194,107,377,12,122
2020-03-22,32,21,71,10,3,724774,476,380,43,104
2020-10-31,25,19,90,10,16,349633,387,182,30,100
2022-06-24,38,17,72,16,24,213937,224,399,34,155
2021-01-26,28,13,84,15,13,789395,436,994,16,182
2023-09-10,29,18,88,14,21,445453,225,686,46,178
2021-10-20,24,12,82,6,29,165805,53,315,25,112
2021-07-22,40,21,76,7,15,992015,167,52,1,125
2020-01-21,35,19,65,5,48,950491,179,153,41,97
2022-09-27,40,21,51,11,12,275889,379,673,1,80
2021-05-31,39,25,88,7,8,998908,352,65,1,58
2020-12-20,23,26,64,19,5,707609,473,647,11,67
2020-03-08,25,12,86,5,48,835628,340,977,38,68
2023-10-24,33,19,53,10,2,141295,352,769,42,101
2020-08-15,21,23,53,19,7,397916,123,739,47,89
2022-12-07,39,25,53,2,2,499561,397,882,26,170
2021-12-04,26,21,85,16,27,682754,379,582,12,102
2020-11-22,20,22,89,19,35,347421,342,693,24,180
2021-04-16,23,29,79,17,3,283936,383,226,25,132
2022-11-15,27,16,73,0,50,729212,389,391,5,100
2023-02-13,32,20,88,15,15,708583,374,587,7,79
2023-11-15,31,14,89,5,5,438471,397,561,29,119
2021-07-30,33,29,64,19,10,271645,188,648,42,173
2020-05-17,21,27,57,14,28,392049,222,769,6,171
2022-12-12,32,14,80,4,20,784969,335,104,18,58
2023-02-09,35,25,58,8,37,744996,434,295,40,113
2022-12-13,39,26,70,1,16,405626,500,215,49,145
2023-05-17,29,20,56,12,46,932975,486,414,22,140
2020-02-04,31,22,59,10,30,783073,264,363,40,168
2021-08-10,22,10,70,16,45,679336,317,728,27,155
2021-08-26,22,17,88,14,44,648714,124,491,43,129
2022-05-30,36,26,61,11,27,316066,258,730,22,139
2020-07-03,37,19,80,6,9,992209,270,33,1,136
2021-05-01,40,16,71,17,23,117832,172,1,10,82
2022-02-18,29,24,56,4,21,681384,415,999,35,72
2020-01-06,34,10,56,19,24,167596,369,633,29,176
2022-12-05,22,17,54,1,13,866055,384,210,7,60
2022-02-28,30,22,75,6,5,451326,99,901,47,117
2020-06-01,21,20,55,1,34,116806,324,308,2,57
2021-04-11,24,23,50,18,37,275457,53,335,14,142
2022-01-06,22,24,69,15,45,471674,348,148,9,92
2022-05-13,32,10,72,6,44,372666,303,796,11,89
2021-08-26,28,19,65,18,22,689894,410,558,15,147
2022-01-30,23,26,85,11,27,468627,126,990,12,50
2022-02-11,36,19,65,8,20,240471,61,779,21,60
2021-09-18,20,19,59,20,3,368216,112,273,25,81
2020-04-10,23,17,82,6,13,714044,348,325,28,53
2021-04-17,21,14,73,7,25,353328,386,364,15,199
2020-10-06,40,16,69,5,34,277529,319,883,18,87
2021-11-15,26,28,63,13,38,870013,238,172,41,168
2022-12-30,33,17,74,3,37,118853,452,764,44,158
2023-07-14,40,26,67,4,4,729844,413,237,10,56
2020-07-19,33,12,75,11,27,841262,61,696,2,87
2022-07-07,30,23,59,20,26,475496,428,465,40,193
2022-04-16,21,13,83,15,9,716299,471,155,22,94
2020-05-23,28,13,57,9,38,832520,108,612,43,156
2021-05-30,27,10,89,3,34,643300,302,942,34,153
2022-04-20,21,20,72,4,43,949895,285,799,35,135
2020-04-20,23,10,53,2,24,181177,424,841,40,198
2023-04-15,20,10,62,13,42,952929,153,612,50,166
2020-06-09,35,18,64,2,50,401988,325,345,46,139
2021-09-29,27,23,84,5,40,705684,82,617,47,85
2023-04-03,34,26,75,6,16,154540,91,666,9,190
2022-07-07,25,23,90,8,14,450218,377,200,40,142
2022-04-18,30,29,67,16,44,287422,405,18,3,96
2023-04-06,22,13,69,15,19,432869,370,269,20,115
2021-04-07,22,20,55,0,39,600374,93,215,40,67
2020-08-18,21,11,68,4,7,859550,178,887,31,64
2022-04-14,30,22,78,2,13,538792,346,83,35,174
2020-09-15,37,22,53,0,49,113816,436,100,31,90
2023-02-10,31,16,75,6,1,703209,213,305,35,75
2022-09-08,33,30,87,7,2,206835,356,162,5,69
2021-09-19,28,13,72,10,44,790583,341,185,35,92
2021-12-17,40,12,71,3,19,614960,291,708,1,57
2023-04-24,24,20,77,15,35,992333,379,225,5,51
2023-08-06,33,20,75,19,17,899110,304,130,48,189
2022-09-14,26,19,80,14,28,512358,365,15,5,59
2020-07-22,21,22,56,6,39,353372,143,390,11,159
2021-03-07,35,15,58,7,10,970118,489,85,13,130
2022-01-06,36,27,65,2,7,903746,228,791,29,77
2021-04-25,29,11,69,18,2,107045,429,938,35,186
2023-09-24,25,28,84,14,37,771167,346,102,46,85
2023-08-26,38,27,89,7,23,393208,165,904,12,87
2022-07-04,32,21,52,8,36,385436,207,116,32,125
2020-03-14,23,26,51,9,49,431393,418,57,16,62
2022-10-18,35,27,57,12,44,272604,199,656,50,183
2020-11-05,39,27,50,19,36,789992,426,705,42,63
2021-08-24,37,30,77,9,41,337863,208,856,33,148
2022-06-28,34,25,67,0,18,472332,435,706,45,153
2023-01-07,33,14,69,7,48,155175,123,33,21,71
2021-06-04,34,13,56,19,2,215413,397,451,5,141
2021-11-17,36,29,73,1,12,213681,386,314,45,161
2022-02-14,33,27,82,13,6,680131,379,905,49,184
2023-06-22,39,21,84,2,20,295104,442,743,27,59
2020-01-16,37,17,51,5,45,701676,307,288,36,111
2022-06-05,29,13,62,9,49,961928,254,667,47,147
2022-09-20,24,30,90,5,47,196615,225,306,19,119
2023-05-26,39,12,88,9,3,192958,292,589,49,71
2022-08-30,35,26,75,18,39,599616,159,242,4,183
2021-12-23,40,20,79,13,4,772793,489,760,41,194
2023-09-05,28,18,66,0,9,523664,138,564,45,68
2022-07-20,25,21,56,2,50,872505,386,294,7,100
2020-10-14,37,25,60,4,38,825391,158,627,30,122
2022-11-27,39,22,52,4,45,149625,117,29,23,133
2021-11-24,37,20,62,20,34,538391,117,414,33,178
2023-09-12,22,26,86,16,48,866749,92,621,28,199
2021-12-18,33,17,88,16,0,412636,216,81,34,91
2020-11-25,27,23,55,0,48,732417,392,111,42,56
2022-03-22,34,19,61,1,15,523800,359,179,13,180
2023-02-02,26,20,59,6,8,375065,273,999,3,167
2022-03-17,34,25,54,17,15,704359,202,497,41,98
2023-02-11,27,21,77,15,12,431235,159,567,23,135
2021-03-25,31,21,59,5,23,606446,161,789,33,105
2022-06-25,35,19,70,19,14,587937,222,457,10,78
2022-06-10,37,22,71,3,40,717748,337,363,20,126
2023-09-11,30,22,84,16,0,950850,336,256,19,72
2020-12-05,21,23,86,19,34,221853,488,106,28,114
2022-07-08,32,26,64,13,18,784492,109,240,6,80
2021-12-31,39,16,89,8,42,621433,351,667,22,139
2022-07-21,26,20,60,3,46,390147,268,3,37,106
2021-05-10,36,30,68,8,19,317617,265,974,38,188
2020-06-26,26,28,60,0,22,153252,316,344,10,192
2022-04-22,34,26,87,4,28,302110,317,938,16,166
2021-03-25,23,27,53,2,38,773812,136,624,50,187
2021-08-19,32,29,61,18,36,272702,91,923,40,188
2023-09-15,27,18,51,2,42,217793,403,731,37,185
2022-01-18,25,29,65,10,45,945722,83,884,8,140
2023-08-06,29,10,52,8,47,962958,435,257,9,111
2023-09-22,24,16,83,12,31,833683,459,431,27,141
2021-12-18,26,26,74,13,2,241994,71,988,19,70
2020-08-01,36,24,75,4,2,605862,121,811,44,125
2023-02-08,36,17,83,3,41,463181,202,214,2,118
2022-12-18,27,24,69,13,25,916810,227,31,7,57
2021-05-01,40,16,68,7,11,400741,288,466,33,53
2023-08-14,38,12,64,20,22,172798,109,844,4,61
2021-06-16,23,26,68,3,48,385446,291,424,29,170
2022-04-10,21,23,62,2,36,435188,344,438,21,183
2021-02-21,23,27,86,15,2,552422,111,884,2,156
2023-10-11,25,15,87,14,33,812823,72,806,48,177
2020-03-23,32,22,53,6,42,998632,286,379,40,174
2023-06-10,35,10,55,7,40,242649,126,699,45,86
2021-03-14,27,24,52,18,0,392380,495,9,43,139
2022-10-16,28,15,62,3,46,324368,415,493,42,181
2023-05-01,31,15,63,6,22,465051,412,632,21,160
2021-05-11,29,27,79,3,28,486144,193,935,33,177
2021-08-17,32,19,69,20,23,753938,212,184,10,108
2023-06-06,20,12,62,16,16,677211,333,698,1,55
2020-01-06,34,19,85,17,36,372656,400,636,12,193
2022-05-06,34,27,81,19,50,710635,308,805,41,80
2021-11-18,22,13,86,14,47,818991,421,972,19,77
2021-03-10,31,15,87,17,7,633823,139,249,34,78
2021-06-11,31,13,83,1,19,746423,79,37,40,93
2022-09-09,24,22,72,13,47,244156,160,341,2,59
2023-06-14,32,27,53,6,10,483345,406,784,46,124
2020-06-11,38,25,53,14,48,708713,496,925,13,66
2022-10-15,24,27,65,4,4,941988,300,542,24,96
2022-03-29,21,10,82,5,28,851078,428,164,24,92
2021-10-16,33,12,76,14,25,162824,162,949,12,198
2021-01-16,34,12,65,14,18,908359,448,345,33,187
2022-11-20,33,19,56,0,9,201809,477,302,30,200
2022-05-22,25,30,52,15,49,911625,367,198,22,113
2020-02-07,38,21,82,13,17,122793,231,66,50,95
2022-07-13,39,28,70,11,50,366629,229,389,18,81
2022-12-02,36,29,68,17,38,416884,307,551,31,52
2022-01-26,36,24,50,11,46,746227,132,375,4,97
2022-04-26,24,11,73,16,37,488545,105,993,41,69
2021-03-18,22,18,72,10,28,174011,253,350,23,156
2023-11-07,38,24,79,3,50,915069,406,921,19,93
2021-09-29,40,12,59,20,31,142183,71,808,23,197
2021-11-29,40,13,74,12,39,230781,325,819,7,91
2023-07-24,23,17,77,10,4,219847,247,599,50,146
2023-06-14,33,11,87,14,42,103376,58,872,50,61
2020-05-18,31,27,54,20,50,242637,257,744,50,152
2020-08-31,35,11,57,19,21,976458,135,826,21,134
2023-09-11,21,20,64,2,19,416787,94,397,5,153
2020-12-04,30,15,56,12,28,407825,224,998,30,160
2020-12-19,25,24,77,19,28,901052,115,893,34,170
2020-04-07,35,10,57,10,1,897293,75,75,39,144
2020-04-22,35,12,84,4,43,172304,456,491,8,170
2022-10-06,27,19,62,13,14,475492,308,695,26,121
2020-04-30,28,22,62,3,28,806227,429,683,25,62
2020-04-12,21,28,59,2,27,867759,434,420,27,115
2021-01-23,34,25,56,0,2,723732,467,952,31,143
2022-08-31,21,21,75,14,17,389280,314,315,46,137
2023-02-15,26,14,77,0,21,656274,462,286,10,133
2023-07-29,32,14,90,12,38,139498,399,918,29,156
2020-05-08,36,13,87,1,35,349309,249,235,42,118
2022-06-11,35,19,75,14,9,959665,317,730,24,162
2022-08-26,30,22,83,9,45,347609,315,997,45,152
2021-04-05,39,22,51,20,20,462507,100,483,4,196
2021-11-30,29,22,69,6,39,788223,222,446,36,126
2020-05-07,22,22,73,2,47,341116,443,776,14,93
2023-08-22,24,22,58,0,1,980291,94,642,18,144
2022-02-06,38,20,53,2,48,112639,328,439,18,87
2020-12-01,34,20,77,16,7,781845,255,988,24,62
2022-05-23,31,12,82,17,6,916881,116,398,6,78
2021-08-09,37,13,61,11,1,892608,60,326,23,74
2022-01-12,27,23,68,9,41,468389,111,105,22,177
2021-01-30,27,20,79,13,29,636854,307,680,48,94
2021-02-16,38,18,84,3,19,734732,117,50,2,179
2020-02-13,37,22,51,2,9,736239,133,569,20,195
2021-06-09,33,22,70,20,27,375719,489,214,31,144
2022-09-10,28,23,80,2,35,799079,301,371,14,179
2021-05-28,40,19,68,9,50,753863,408,161,4,137
2023-08-29,21,12,57,6,46,165915,387,55,42,144
2021-01-10,22,14,81,0,1,182502,164,351,8,186
2020-07-03,29,18,75,4,0,817450,217,280,13,115
2022-08-02,32,12,85,5,42,683382,410,263,3,151
2022-07-05,22,11,62,20,8,655316,253,748,18,131
2023-05-21,21,11,65,3,40,515228,168,968,10,153
2022-12-02,20,23,86,15,12,278661,331,881,45,89
2023-11-08,39,30,69,15,23,253244,427,531,23,193
2023-01-23,34,27,51,18,21,764943,195,141,31,173
2022-10-26,26,17,55,5,25,905886,233,936,33,165
2020-01-16,33,21,52,13,34,291639,96,73,2,64
2023-06-15,31,27,85,1,21,927253,73,84,18,114
2020-01-12,24,25,83,2,9,575458,100,580,32,151
2020-10-27,38,29,65,15,17,589500,115,985,13,106
2020-04-01,39,21,90,5,13,439497,497,461,41,160
2021-02-15,27,10,78,15,40,603732,158,15,1,103
2022-10-05,36,18,60,1,11,118728,434,217,45,89
2021-10-06,34,23,77,6,47,758799,318,855,37,135
2022-11-04,26,14,62,0,16,250004,176,543,44,152
2023-01-06,32,10,59,1,32,351106,290,542,28,113
2023-08-06,32,18,88,13,34,910479,494,658,33,163
2022-08-05,36,21,75,13,32,915799,375,17,4,73
2020-04-05,26,15,84,13,11,562564,412,204,26,143
2022-02-01,31,30,68,19,16,415070,394,920,20,185
2022-05-20,39,11,74,6,44,427859,249,913,27,160
2023-11-25,22,19,90,5,2,130589,211,942,29,112
2022-05-11,21,12,81,9,41,617341,367,160,42,72
2022-04-26,25,28,85,19,50,232026,67,885,47,100
2021-11-25,20,21,51,1,11,587100,317,468,4,166
2020-10-01,35,11,82,6,49,754748,80,289,50,58
2020-03-25,27,23,63,11,12,371857,333,550,3,181
2021-10-13,28,26,88,15,40,614226,96,425,28,110
2022-11-15,33,12,50,12,0,405787,412,446,40,151
2020-02-19,33,12,88,14,25,435195,173,413,12,140
2020-03-31,23,10,89,1,16,842626,495,969,11,88
2021-02-03,40,30,79,15,45,174933,138,206,20,151
2022-03-07,33,20,53,11,27,140079,343,660,48,164
2023-01-07,32,30,90,6,46,233667,353,361,37,172
2023-02-12,36,25,67,0,37,776519,383,394,26,165
2022-07-18,24,20,67,18,49,878554,436,609,37,179
2023-11-10,40,26,72,13,16,189077,456,842,2,163
2021-04-23,37,23,76,7,41,714883,279,830,11,134
2021-11-13,24,11,60,3,49,214106,414,67,8,148
2022-06-07,38,22,71,9,50,914682,101,453,1,97
2023-03-19,31,26,62,15,11,537077,464,264,11,81
2022-02-02,21,13,63,2,50,537822,454,29,30,110
2023-03-26,26,29,68,13,45,308144,449,392,37,112
2023-02-26,26,30,86,7,48,260610,88,892,35,95
2021-10-02,36,14,88,9,37,833412,305,45,18,70
2023-04-10,32,19,51,1,48,669604,211,857,25,124
2022-08-31,29,29,77,18,8,930696,408,743,26,188
2022-11-26,22,23,57,19,42,704395,65,375,41,97
2020-12-29,21,22,56,0,7,760933,225,344,22,188
2020-02-22,38,30,60,1,42,892378,277,123,49,101
2021-10-19,26,19,61,18,22,513100,279,915,38,78
2022-11-09,36,22,60,5,8,367538,331,272,3,50
2021-01-01,33,27,80,18,27,349410,358,923,21,182
2021-01-07,31,18,62,12,23,593685,242,693,35,166
2023-11-11,28,22,62,3,23,669505,327,402,24,140
2023-10-12,39,17,82,5,31,675894,406,926,11,80
2021-06-30,34,13,72,4,10,903275,361,1000,44,81
2023-11-09,30,17,90,11,16,197093,279,982,40,106
2022-05-20,29,20,73,3,46,900434,213,220,30,50
2020-09-18,26,29,86,14,32,719236,90,942,23,53
2021-05-03,24,28,60,19,24,130575,94,736,36,170
2022-08-17,24,21,89,0,28,164512,239,165,16,180
2022-02-08,31,23,58,17,26,387206,380,780,2,185
2020-09-16,36,17,51,9,31,995901,331,539,21,98
2020-02-16,25,11,76,2,8,751062,120,315,2,165
2022-01-16,21,23,75,6,37,845926,201,423,44,189
2023-10-23,30,30,68,13,4,359472,370,556,46,88
2023-08-31,40,24,51,18,44,853242,356,610,30,137
2022-11-16,22,13,76,1,10,898895,283,958,39,107
2022-02-01,31,22,63,16,7,205949,399,461,6,191
2021-05-15,33,11,63,0,12,335279,497,162,36,75
2022-09-15,25,20,51,17,32,348202,61,271,20,165
2023-07-08,39,21,54,17,40,353283,96,688,16,179
2021-03-07,30,21,86,9,36,620930,418,954,41,198
2022-01-22,38,24,62,18,39,859229,309,349,31,181
2022-10-03,21,19,51,13,16,631511,144,37,7,166
2020-12-29,39,16,76,11,42,519587,378,63,23,176
2020-01-11,27,12,61,12,16,416581,87,463,43,93
2020-01-19,25,15,60,10,27,709413,248,109,32,171
2023-10-26,38,22,81,1,43,117797,317,482,23,123
2023-11-08,25,23,56,8,46,877902,296,840,6,138
2021-10-01,33,25,63,2,29,938410,368,93,29,152
2023-03-03,32,11,78,5,41,641135,169,820,7,80
2020-05-09,20,17,82,5,28,974605,85,243,30,108
2021-02-27,32,26,79,0,31,157507,307,246,16,184
2022-04-08,27,16,51,9,37,693948,137,261,49,101
2023-10-23,33,30,76,8,6,519245,139,72,33,88
2023-02-22,32,27,80,20,13,795997,498,741,21,179
2021-12-07,30,16,72,16,27,440322,148,81,5,90
2020-06-19,20,29,89,15,39,481635,135,476,19,145
2020-07-12,36,17,76,13,5,267697,432,902,29,133
2020-11-24,21,17,54,12,43,455530,253,731,50,154
2022-12-31,31,12,62,18,50,940624,171,297,42,111
2021-01-28,32,22,82,14,19,184782,119,487,30,107
2020-03-07,25,29,77,9,35,551903,190,31,46,64
2022-05-23,29,20,62,1,4,175113,76,156,6,117
2021-05-18,40,19,88,11,48,345668,256,354,45,161
2020-02-13,25,14,72,20,28,413017,378,997,50,130
2020-05-15,20,22,89,13,17,535432,162,193,12,110
2021-07-03,37,15,55,2,13,910485,126,632,33,81
2023-08-29,34,18,57,2,46,293798,293,472,38,71
2022-07-18,31,21,68,2,39,833745,326,977,28,152
2022-03-01,28,12,78,7,49,400188,401,817,30,118
2020-05-27,34,30,57,12,16,605062,294,353,6,198
2020-05-20,21,13,82,12,40,364910,427,309,33,188
2020-09-27,24,23,63,15,24,750621,201,192,26,112
2023-06-10,27,30,50,20,3,880874,377,218,5,180
2021-04-15,27,17,52,0,30,361710,392,497,19,169
2022-12-20,21,10,58,6,10,976158,443,135,45,68
2023-06-19,25,23,85,7,31,798590,420,469,44,51
2022-11-27,22,14,51,4,25,142924,426,343,23,50
2022-12-02,39,11,86,4,27,591053,456,314,14,144
2021-06-02,32,22,84,1,27,405101,216,762,3,171
2020-03-10,29,19,65,12,1,961829,293,822,22,161
2020-07-07,26,11,76,12,43,191281,190,891,31,115
2022-02-05,34,29,53,11,25,720652,409,680,12,197
2022-07-02,24,30,68,13,41,868114,366,932,36,118
2021-08-26,30,14,89,10,12,776861,236,982,18,194
2021-05-12,35,29,58,15,23,697302,84,145,9,66
2022-01-29,27,30,71,0,15,668562,328,870,22,189
2023-10-05,36,30,80,3,17,683962,407,280,24,141
2021-12-19,28,28,59,8,26,425347,195,147,11,104
2022-05-19,30,28,85,18,30,464310,75,18,37,134
2022-09-23,29,29,54,3,29,408780,353,841,2,187
2023-11-24,38,21,64,4,44,508080,452,972,21,124
2023-08-23,31,14,59,15,26,824689,69,964,49,99
2022-06-08,20,24,82,3,40,688461,471,770,32,127
2020-04-09,33,11,79,18,23,340922,71,300,11,54
